yearID,teamID,W,G,R,RA,HR,H,SO,SV,attendance,ERA
2014,CHA,73,162,660,758,155,1400,1362.0,36,1650821.0,4.297015961138099
2014,CLE,85,162,669,653,142,1411,1189.0,40,1437393.0,3.573439273552781
2014,DET,90,162,757,705,155,1557,1144.0,41,2917209.0,4.011004126547455
2014,HOU,70,162,629,723,163,1317,1442.0,31,1751829.0,4.141334569045412
2014,KCA,89,162,651,624,95,1456,985.0,53,1956482.0,3.505284926470588
2014,LAA,98,162,773,630,155,1464,1266.0,46,3095935.0,3.581384892086331
2014,MIN,70,162,715,777,128,1412,1329.0,38,2250606.0,4.578397212543554
2014,NYA,84,162,633,664,147,1349,1133.0,48,3401624.0,3.7474191328286306
2014,OAK,88,162,729,572,146,1354,1104.0,31,2003628.0,3.2227790432801826
2014,SEA,87,162,634,554,136,1328,1232.0,51,2064334.0,3.1735537190082646
2014,TBA,77,162,612,625,117,1361,1124.0,37,1446464.0,3.560236848098383
2014,TEX,67,162,637,773,111,1400,1162.0,33,2718733.0,4.492638466931527
2014,TOR,83,162,723,686,177,1435,1151.0,45,2375525.0,4.004158004158004
2014,ARI,64,162,615,742,118,1379,1165.0,35,2073730.0,4.255942764828064
2014,ATL,79,162,573,597,123,1316,1369.0,54,2354305.0,3.3835051546391752
2014,CHN,73,162,614,707,157,1315,1477.0,37,2652113.0,3.9239179954441914
2014,CIN,76,162,595,612,131,1282,1252.0,44,2476664.0,3.5850622406639006
2014,COL,66,162,755,818,186,1551,1281.0,24,2680329.0,4.855345911949685
2014,LAN,94,162,718,617,134,1476,1246.0,47,3782337.0,3.404187528447883
2014,MIA,77,162,645,674,122,1399,1419.0,42,1732283.0,3.790990166933455
2014,MIL,82,162,650,657,150,1366,1197.0,45,2797384.0,3.667505145209238
2014,NYN,79,162,629,618,125,1306,1264.0,42,2148808.0,3.4925984969255293
2014,PHI,73,162,619,687,125,1356,1306.0,40,2423852.0,3.806356413166856
2014,PIT,88,162,682,631,156,1436,1244.0,48,2442564.0,3.4916456855115587
2014,SDN,77,162,535,577,109,1199,1294.0,41,2195373.0,3.2717794253938832
2014,SFN,88,162,665,614,132,1407,1245.0,46,3368697.0,3.5031055900621118
2014,SLN,90,162,619,603,105,1371,1133.0,55,3540649.0,3.5039116428900137
2014,WAS,96,162,686,555,152,1403,1304.0,45,2579389.0,3.0292384406165005
2015,BAL,81,162,713,693,217,1370,1331.0,43,2281202.0,4.0525092936802976
2015,BOS,78,162,748,753,161,1495,1148.0,40,2880694.0,4.337399309551208
2015,CHA,76,162,622,701,136,1381,1231.0,37,1755810.0,3.9837081229921982
2015,CLE,81,161,669,640,141,1395,1157.0,38,1388905.0,3.6812470916705444
2015,DET,74,161,689,803,151,1515,1259.0,35,2726048.0,4.639944713199723
2015,HOU,86,162,729,618,230,1363,1392.0,39,2153585.0,3.572519083969466
2015,KCA,95,162,724,641,139,1497,973.0,56,2708549.0,3.737603305785124
2015,LAA,85,162,661,675,176,1331,1150.0,46,3012765.0,3.9419250347061543
2015,MIN,83,162,696,700,156,1349,1264.0,45,2220054.0,4.072765072765073
2015,NYA,87,162,764,698,212,1397,1227.0,48,3193795.0,4.031785959295678
2015,OAK,68,162,694,729,146,1405,1119.0,28,1768175.0,4.161513613290263
2015,SEA,76,162,656,726,198,1379,1336.0,45,2193581.0,4.16473000683527
2015,TBA,80,162,644,642,167,1383,1310.0,60,1287054.0,3.7403669724770645
2015,TEX,88,162,751,733,172,1419,1233.0,45,2491875.0,4.2546210720887245
2015,TOR,93,162,891,670,232,1480,1151.0,34,2794891.0,3.809854267869535
2015,ARI,79,162,720,713,154,1494,1312.0,44,2080145.0,4.05
2015,ATL,67,162,573,760,100,1361,1107.0,44,2001392.0,4.413704396632367
2015,CHN,97,162,689,608,171,1341,1518.0,48,2919122.0,3.362682481751825
2015,CIN,64,162,640,754,167,1382,1255.0,35,2419506.0,4.347247706422019
2015,COL,68,162,737,844,186,1479,1283.0,36,2506789.0,5.04159850432344
2015,LAN,92,162,667,595,187,1346,1258.0,47,3764815.0,3.4551533317961725
2015,MIA,71,162,613,678,120,1420,1150.0,35,1752235.0,4.036440084092502
2015,MIL,68,162,655,737,145,1378,1299.0,40,2542558.0,4.277351916376307
2015,NYN,90,162,683,613,177,1351,1290.0,50,2569753.0,3.4519143117593436
2015,PHI,63,162,626,809,130,1374,1274.0,35,1831080.0,4.693200278486888
2015,PIT,98,162,697,596,140,1462,1322.0,54,2498596.0,3.22622510628776
2015,SDN,74,162,650,731,148,1324,1327.0,41,2459742.0,4.092802591992594
2015,SFN,84,162,696,627,136,1486,1159.0,41,3375882.0,3.7325178859912302
2015,SLN,100,162,647,525,137,1386,1267.0,62,3520889.0,2.9371870732817476
2015,WAS,83,162,703,635,177,1363,1344.0,41,2619843.0,3.619656133828996
2016,BAL,89,162,744,715,253,1413,1324.0,54,2172344.0,4.217178770949721
2016,BOS,93,162,878,694,208,1598,1160.0,43,2955434.0,4.0009261403102565
2016,CHA,78,162,686,715,168,1428,1285.0,43,1746293.0,4.118433179723502
2016,CLE,94,161,777,676,185,1435,1246.0,37,1591667.0,3.8553633217993077
2016,DET,86,161,750,721,211,1476,1303.0,47,2493859.0,4.241596638655462
2016,HOU,84,162,724,701,198,1367,1452.0,44,2306623.0,4.064713896457766
2016,KCA,81,162,675,712,147,1450,1224.0,41,2557712.0,4.2125
2016,LAA,74,162,717,727,156,1410,991.0,29,3016142.0,4.280487804878049
2016,MIN,59,162,722,889,200,1409,1426.0,26,1963912.0,5.08939708939709
2016,NYA,84,162,680,702,183,1378,1188.0,48,3063405.0,4.164994165694282
2016,OAK,69,162,653,761,169,1352,1145.0,42,1521506.0,4.514651162790698
2016,SEA,86,162,768,707,223,1446,1288.0,49,2267928.0,3.9965682910089226
2016,TBA,68,162,672,713,216,1333,1482.0,42,1286163.0,4.196073849030148
2016,TEX,95,162,765,757,215,1446,1220.0,56,2710402.0,4.384615384615385
2016,TOR,89,162,759,666,221,1358,1362.0,43,3392099.0,3.792827775239836
2016,ARI,69,162,752,890,190,1479,1427.0,31,2036216.0,5.0911805236564085
2016,ATL,68,161,649,779,122,1404,1240.0,39,2020914.0,4.507253050886484
2016,CHN,103,162,808,556,199,1409,1339.0,38,3232420.0,3.150719342315597
2016,CIN,68,162,716,854,164,1403,1284.0,28,1894085.0,4.911927877947296
2016,COL,75,162,845,860,204,1544,1330.0,37,2602524.0,4.917677238805971
2016,LAN,91,162,725,638,189,1376,1321.0,47,3703312.0,3.7040605643496214
2016,MIA,79,161,655,682,128,1460,1213.0,55,1712417.0,4.051567944250871
2016,MIL,73,162,671,733,194,1299,1543.0,46,2314614.0,4.097373925168488
2016,NYN,87,162,671,617,218,1342,1302.0,55,2789602.0,3.5763648928818244
2016,PHI,71,162,610,796,161,1305,1376.0,43,1915144.0,4.640918580375783
2016,PIT,78,162,729,758,153,1426,1334.0,51,2249201.0,4.224954044117647
2016,SDN,68,162,686,770,177,1275,1500.0,35,2351422.0,4.44375
2016,SFN,87,162,715,631,130,1437,1107.0,43,3365256.0,3.691622917142205
2016,SLN,86,162,779,712,225,1415,1318.0,38,3444490.0,4.076409666283085
2016,WAS,95,162,763,612,203,1403,1252.0,46,2481938.0,3.5206668189084263
2017,BAL,75,162,743,841,232,1469,1412.0,35,2028424.0,4.971547536433032
2017,BOS,93,162,785,668,168,1461,1224.0,39,2917678.0,3.733977962671464
2017,CHA,67,162,706,820,186,1412,1397.0,25,1629470.0,4.7796014067995305
2017,CLE,102,162,818,564,212,1449,1153.0,37,2048138.0,3.304720037019898
2017,DET,64,162,735,894,187,1435,1313.0,32,2321599.0,5.360713447547524
2017,HOU,101,162,896,700,238,1581,1087.0,45,2403671.0,4.1203319502074685
2017,KCA,80,162,702,791,193,1436,1166.0,39,2220370.0,4.632506376072339
2017,LAA,80,162,710,709,186,1314,1198.0,43,3019585.0,4.198056455344748
2017,MIN,85,162,815,788,206,1444,1342.0,42,2051279.0,4.600278551532034
2017,NYA,91,162,858,660,241,1463,1386.0,36,3146966.0,3.7462034054302804
2017,OAK,75,162,739,826,234,1344,1491.0,35,1475721.0,4.672955974842767
2017,SEA,78,162,750,772,200,1436,1267.0,39,2135445.0,4.455218699375145
2017,TBA,80,162,694,704,228,1340,1538.0,53,1253619.0,3.986159169550173
