yearID,teamID,H,HR,BB,SO,AB,RBI,R,W,G
2015,OAK,1405,146,475,1119.0,5600,661.0,694,68,162
2015,PHI,1374,130,387,1274.0,5529,586.0,626,63,162
2015,PIT,1462,140,461,1322.0,5631,661.0,697,98,162
2015,SDN,1324,148,426,1327.0,5457,623.0,650,74,162
2015,SEA,1379,198,478,1336.0,5544,624.0,656,76,162
2015,SFN,1486,136,457,1159.0,5565,663.0,696,84,162
2015,SLN,1386,137,506,1267.0,5484,619.0,647,100,162
2015,TBA,1383,167,436,1310.0,5485,612.0,644,80,162
2015,TEX,1419,172,503,1233.0,5511,707.0,751,88,162
2015,TOR,1480,232,570,1151.0,5509,852.0,891,93,162
2015,WAS,1363,177,539,1344.0,5428,665.0,703,83,162
2016,ARI,1479,190,463,1427.0,5665,709.0,752,69,162
2016,ATL,1404,122,502,1240.0,5514,615.0,649,68,161
2016,BAL,1413,253,468,1324.0,5524,710.0,744,89,162
2016,BOS,1598,208,558,1160.0,5670,836.0,878,93,162
2016,CHA,1428,168,455,1285.0,5550,656.0,686,78,162
2016,CHN,1409,199,656,1339.0,5503,767.0,808,103,162
2016,CIN,1403,164,452,1284.0,5487,678.0,716,68,162
2016,CLE,1435,185,531,1246.0,5484,733.0,777,94,161
2016,COL,1544,204,494,1330.0,5614,805.0,845,75,162
2016,DET,1476,211,493,1303.0,5526,719.0,750,86,161
2016,HOU,1367,198,554,1452.0,5545,689.0,724,84,162
2016,KCA,1450,147,382,1224.0,5552,640.0,675,81,162
2016,LAA,1410,156,471,991.0,5431,686.0,717,74,162
2016,LAN,1376,189,525,1321.0,5518,680.0,725,91,162
2016,MIA,1460,128,447,1213.0,5547,626.0,655,79,161
2016,MIL,1299,194,599,1543.0,5330,641.0,671,73,162
2016,MIN,1409,200,513,1426.0,5618,690.0,722,59,162
2016,NYA,1378,183,475,1188.0,5458,647.0,680,84,162
2016,NYN,1342,218,517,1302.0,5459,649.0,671,87,162
2016,OAK,1352,169,442,1145.0,5500,634.0,653,69,162
2016,PHI,1305,161,424,1376.0,5434,574.0,610,71,162
2016,PIT,1426,153,561,1334.0,5542,696.0,729,78,162
2016,SDN,1275,177,449,1500.0,5419,654.0,686,68,162
2016,SEA,1446,223,506,1288.0,5583,735.0,768,86,162
2016,SFN,1437,130,572,1107.0,5565,675.0,715,87,162
2016,SLN,1415,225,526,1318.0,5548,745.0,779,86,162
2016,TBA,1333,216,449,1482.0,5481,647.0,672,68,162
2016,TEX,1446,215,436,1220.0,5525,746.0,765,95,162
2016,TOR,1358,221,632,1362.0,5479,728.0,759,89,162
